text,label
cha,1
mẹ,1
chửi,1
bậy,1
chết tiệt,1
ngu,1
đần,1
đồ ngốc,1
tệ,1
xấu,1
dmm,1
dm,1
cc,1
cmm,1
dkm,1
vkl,1
cl,1
kém cỏi,1
dở hơi,1
lịch sự,0
xinh đẹp,0
giỏi giang,0
tốt,0
tài năng,0
tận tâm,0
thân thiện,0
hài hước,0
tích cực,0
súc vật,1
tốt bụng,0
cám ơn,0
thân thiện,0
sản phẩm,0
giỏ hàng,0
đơn hàng,0
tin tức,0
nhân viên,0
điện thoại,0
công nghệ,0
người,0
sống,0
thiếu,0
doanh thu,0
chi trả,0
hủy đơn,0
đơn,0
đánh giá,0
chửi,1
bậy,1
chết tiệt,1
ngu,1
đần,1
đồ ngốc,1
tệ,1
xấu,1
kém cỏi,1
dở hơi,1
khốn nạn,1
đê tiện,1
vô lại,1
thô lỗ,1
cục súc,1
lười biếng,1
vô học,1
dốt nát,1
ngu xuẩn,1
bẩn thỉu,1
độc ác,1
đáng ghét,1
vô dụng,1
nhảm nhí,1
phá hoại,1
quấy rối,1
lươn lẹo,1
lừa đảo,1
xảo trá,1
lý sự,1
kẻ phá phách,1
lịch sự,0
xinh đẹp,0
giỏi giang,0
tốt,0
tài năng,0
tận tâm,0
thân thiện,0
hài hước,0
tích cực,0
dễ thương,0
cần cù,0
chăm chỉ,0
hiền lành,0
trí tuệ,0
yêu thương,0
đáng yêu,0
trung thực,0
tin tưởng,0
đáng tin,0
tử tế,0
tự tin,0
text,label
chửi,1
bậy,1
chết tiệt,1
ngu,1
đần,1
đồ ngốc,1
tệ,1
xấu,1
kém cỏi,1
dở hơi,1
khốn nạn,1
đê tiện,1
vô lại,1
thô lỗ,1
cục súc,1
lười biếng,1
vô học,1
dốt nát,1
ngu xuẩn,1
bẩn thỉu,1
độc ác,1
đáng ghét,1
vô dụng,1
nhảm nhí,1
phá hoại,1
quấy rối,1
lươn lẹo,1
lừa đảo,1
xảo trá,1
lý sự,1
kẻ phá phách,1
lịch sự,0
xinh đẹp,0
giỏi giang,0
tốt,0
tài năng,0
tận tâm,0
thân thiện,0
hài hước,0
tích cực,0
dễ thương,0
cần cù,0
chăm chỉ,0
hiền lành,0
trí tuệ,0
yêu thương,0
đáng yêu,0
trung thực,0
tin tưởng,0
đáng tin,0
tử tế,0
tự tin,0
Sản phẩm quá rẻ,0
Chó ,1
cc ,1
cc,1
Sản phẩm chất lượng,0
quần què,1
Sản phẩm như quần què,1
Quần què,1
5 sao,0
Quá tuyệt vời,0
Quá tốt,0
Sản phẩm tốt,0
Sản phẩm tốt,0
Chó,1
Shop không uy tín,0
Tốt,0
Shop ngu,1
